""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"0"	0.277430332265794	0.283300515729934	0.836674307473004	0.436392224859446	0.3687415686436	0.975142847280949	0.66509417956695	0.928983454592526	0.330492099514231	0.957901781657711	0.38444714481011	0.113906615180895	0.247290331404656	0.500815238337964	0.48992676101625	0.540377766359597
"0.1"	0.0757095329463482	0.495682091917843	0.827213697135448	0.91877011815086	0.0656243967823684	0.584667353192344	0.473384936805815	0.830715942196548	0.795813300879672	0.0845204393845052	0.491218349663541	0.312793341232464	0.355621236376464	0.688330337870866	0.623114196117967	0.235623956425115
"0.2"	0.463244726415724	0.0217442354187369	0.0321799309458584	0.56931062694639	0.299516952829435	0.890367555432022	0.230155217228457	0.769595743622631	0.386873706011102	0.580111083108932	0.186407372588292	0.260441297432408	0.57960542710498	0.613176272949204	0.926358880940825	0.108418896095827
"0.3"	0.462112006498501	0.467268671374768	0.147360098082572	0.221456864615902	0.0487776233348995	0.631178338546306	0.60601684381254	0.665592123055831	0.762633558595553	0.861487318761647	0.940125216031447	0.231672394322231	0.898441004566848	0.0714708752930164	0.815384592162445	0.22249540919438
"0.4"	0.360774887725711	0.88191896583885	0.212149707367644	0.215905556920916	0.308135978179052	0.681723297806457	0.734049108112231	0.456693788059056	0.546383978100494	0.693199759814888	0.384073771769181	0.400269598467276	0.905752196907997	0.467612223001197	0.196534108370543	0.48716178862378
"0.5"	0.937556981109083	0.33823497639969	0.653505305526778	0.258231922751293	0.71957147307694	0.651352769462392	0.496295847697183	0.503117086365819	0.737882592249662	0.418725800467655	0.482640154426917	0.493505122838542	0.382906971266493	0.62460962170735	0.287654198007658	0.512445154599845
"0.6"	0.0646370281465352	0.492854752345011	0.729557081824169	0.218830455327407	0.0113880201242864	0.470968309557065	0.565943143097684	0.522340196184814	0.370327322045341	0.620776586933061	0.533392143901438	0.0642043373081833	0.292569699697196	0.735634074080735	0.478104147128761	0.18374185054563
"0.7"	0.842284998157993	0.924403947545215	0.0474356305785477	0.420471102930605	0.186887294985354	0.378895378438756	0.271180838812143	0.0934853574726731	0.649107223842293	0.950618827249855	0.12707741279155	0.416229829657823	0.547261937754229	0.260042624780908	0.124170114519075	0.979215590516105
"0.8"	0.576063486514613	0.743078988743946	0.100058839656413	0.30676467390731	0.34457518113777	0.959652846679091	0.413378548342735	0.256851084996015	0.794236668385565	0.587567578302696	0.576057634316385	0.531430261442438	0.477764226030558	0.862388676265255	0.118921220768243	0.392685765167698
"0.9"	0	0.999409949174151	0.561061832820997	0.236712064128369	0.632430261000991	0.987845491850749	0.809501419775188	0.386311040725559	0.615878667449579	0.459910919889808	0.0698974074330181	0.50559163489379	0.616676694015041	0.55424299556762	0.390219862107188	0.260288958670571
